year,stateProvince,decimalLatitude,decimalLongitude
1992,Tasmania,-41.90329,148.31631
1992,Tasmania,-41.90329,148.31631
1992,Tasmania,-41.90329,148.31631
1992,Tasmania,-41.90329,148.31631
1992,Tasmania,-41.90329,148.31631
1992,Tasmania,-41.88012,148.30984
1992,Tasmania,-41.88012,148.30984
1992,Tasmania,-41.88012,148.30984
1992,Tasmania,-41.88012,148.30984
1992,Tasmania,-42.598491,148.041342
1992,Tasmania,-42.598491,148.041342
1992,Tasmania,-42.588486,148.041346
1992,Tasmania,-42.588486,148.041346
1992,Tasmania,-42.57373,148.08046
1992,Tasmania,-42.57373,148.08046
1992,Tasmania,-42.57373,148.08046
1992,Tasmania,-42.57373,148.08046
1992,Tasmania,-43.03834,147.33894
1992,Tasmania,-43.03834,147.33894
1992,Tasmania,-43.03834,147.33894
1992,Tasmania,-43.03834,147.33894
1992,Tasmania,-43.03834,147.33894
1992,Tasmania,-43.03834,147.33894
1992,Tasmania,-43.03834,147.33894
1992,Tasmania,-39.898524,143.83137
1992,Tasmania,-39.898524,143.83137
1992,Tasmania,-39.928528,143.831366
1992,Tasmania,-39.928528,143.831366
1992,Tasmania,-40.12952,143.90137
1992,Tasmania,-40.12952,143.90137
1992,Tasmania,-40.12952,143.90137
1992,Tasmania,-39.478493,146.641314
1992,Tasmania,-39.478493,146.641314
1992,Tasmania,-39.468491,146.641307
1992,Tasmania,-39.468491,146.641307
1992,Tasmania,-40.48947,148.34232
1992,Tasmania,-40.46449,148.22939
1992,Tasmania,-40.48947,148.34232
1992,Tasmania,-40.46449,148.22939
1992,Tasmania,-40.46449,148.22939
1992,Tasmania,-40.48947,148.34232
1992,Tasmania,-40.48947,148.34232
1992,Tasmania,-40.46449,148.22939
1992,Tasmania,-41.87447,148.31433
1992,Tasmania,-41.87447,148.31433
1992,Tasmania,-41.87447,148.31433
1992,Tasmania,-41.87447,148.31433
1992,Tasmania,-43.0534,147.3421
1992,Tasmania,-43.0534,147.3421
1992,Tasmania,-43.0534,147.3421
1992,Tasmania,-43.0534,147.3421
1992,Tasmania,-42.588487,148.121344
1992,Tasmania,-42.588487,148.121344
1992,Tasmania,-42.6025,148.04628
1992,Tasmania,-42.59211,148.05035
1992,Tasmania,-42.59211,148.05035
1992,Tasmania,-39.218489,146.9913
1992,Tasmania,-39.218485,146.971294
1992,Tasmania,-39.218485,146.971294
1992,Tasmania,-39.218489,146.9913
1992,Tasmania,-39.48049,146.6454
1992,Tasmania,-39.473,146.64893
1992,Tasmania,-39.48049,146.6454
1992,Tasmania,-39.473,146.64893
1992,Tasmania,-39.48049,146.6454
1992,Tasmania,-39.473,146.64893
1992,Tasmania,-39.48049,146.6454
1992,Tasmania,-39.473,146.64893
1992,Tasmania,-42.56849,148.061347
1992,Tasmania,-42.56849,148.061347
1992,Tasmania,-42.59048,148.12434
1992,Tasmania,-42.59048,148.12434
1992,Tasmania,-42.59048,148.12434
1992,Tasmania,-42.59048,148.12434
1992,Tasmania,-39.208485,147.0213
1992,Tasmania,-39.208485,147.0213
1992,Tasmania,-39.208486,146.991302
1992,Tasmania,-39.208486,146.991302
1992,Tasmania,-39.21917,146.99239
1992,Tasmania,-39.22592,146.97951
1992,Tasmania,-39.22592,146.97951
1992,Tasmania,-39.21917,146.99239
1992,Tasmania,-42.568483,148.08134
1992,Tasmania,-42.568483,148.08134
1992,Tasmania,-42.57658,148.06207
1992,Tasmania,-42.57658,148.06207
1992,Tasmania,-42.6025,148.04628
1992,Tasmania,-42.57658,148.06207
1992,Tasmania,-42.57658,148.06207
1992,Tasmania,-39.438485,147.291291
1992,Tasmania,-39.468483,147.311296
1992,Tasmania,-39.438485,147.291291
1992,Tasmania,-39.468483,147.311296
1992,Tasmania,-39.21384,147.02144
1992,Tasmania,-39.21515,146.99239
1992,Tasmania,-39.21515,146.99239
1992,Tasmania,-39.21515,146.99239
1992,Tasmania,-39.21384,147.02144
1992,Tasmania,-39.21384,147.02144
1992,Tasmania,-39.21384,147.02144
1992,Tasmania,-42.57373,148.08046
1992,Tasmania,-42.57373,148.08046
1992,Tasmania,-42.57373,148.08046
1992,Tasmania,-42.57373,148.08046
1992,Tasmania,-39.458487,147.341299
1992,Tasmania,-39.458487,147.341299
1992,Tasmania,-39.458488,147.291293
1992,Tasmania,-39.458488,147.291293
1992,Tasmania,-39.44067,147.2971
1992,Tasmania,-39.46937,147.31013
1992,Tasmania,-39.46937,147.31013
1992,Tasmania,-39.46937,147.31013
1992,Tasmania,-39.44067,147.2971
1992,Tasmania,-39.46937,147.31013
1992,Tasmania,-39.44067,147.2971
1992,Tasmania,-39.44067,147.2971
1992,Tasmania,-42.568483,148.08134
1992,Tasmania,-42.568483,148.08134
1992,Tasmania,-42.59048,148.12434
1992,Tasmania,-42.59048,148.12434
1992,Tasmania,-42.59048,148.12434
1992,Tasmania,-42.59048,148.12434
1992,Tasmania,-39.518485,147.121306
1992,Tasmania,-39.518485,147.121306
1992,Tasmania,-39.49849,147.121306
1992,Tasmania,-39.49849,147.121306
1992,Tasmania,-39.45989,147.34656
